location_waypoint,location_reach_number,location_distance_m,habitat_unit_type,habitat_unit_cat,habitat_unit_length_m,habitat_unit_gradient_percent,mean_depth_bankfull_m,mean_depth_water_m,mean_depth_water_m_2,mean_depth_water_m_3,mean_width_bankfull_m,mean_width_wetted_m,pools_only_max_depth_m,pools_only_crest_m,pools_only_residual_m,pools_only_pool_type,bed_material_type_dom,bed_material_type_sub_dom,bed_material_type_spawning_gravel,bed_material_type_spawning_gravel_2,total_lwd_tally_spawning_gravel,functional_lwd10_20cm,functional_lwd20_50cm,functional_lwd_50cm,cover_type,cover_percent,cover_type_2,cover_percent_2,offchannel_habitat_type,offchannel_habitat_access,offchannel_habitat_length_m,disturbance_indicators_length_m,disturbance_indicators_length_m_2,disturbance_indicators_length_m_3,riparian_vegetation_type,riparian_vegetation_structure,riparian_vegetation_canopy_closure,barriers_canopy_closure,comments_canopy_closure,survey_date_canopy_closure,watershed_canopy_closure,sub_basin_canopy_closure,weather_canopy_closure,surveyor_1canopy_closure,surveyor_2canopy_closure,surveyor_3canopy_closure,discharge_m3_s_canopy_closure,subsampling_fractions_riffles,subsampling_fractions_pools,subsampling_fractions_glides,subsampling_fractions_cascades,subsampling_fractions_other,ele,time,utm_easting,utm_northing
098,1,0,R,1,85,3,0.45,0.3,0.28,0.24,6.3,5.3,NA,NA,NA,NA,C,B,L,R,3,0,0,0,B,5,UB,T,NA,NA,NA,NA,NA,NA,M,YF,1,NA,from ford,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1270.32666,2022-10-06T17:19:59Z,649996.3600559699,5531957.7385207135
099,1,85,C,1,43,4.5,0.4,0.25,0.2,0.35,6.9,6,NA,NA,NA,NA,C,B,N,NA,1,0,1,0,B,5,OV,T,NA,NA,NA,NA,NA,NA,M,YF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1270.889282,2022-10-06T18:24:53Z,649933.4982684023,5531893.79240461
100,1,128,R,1,44,3,0.4,0.27,0.24,0.3,6.2,4.7,NA,NA,NA,NA,C,B,L,R,7,2,2,0,B,4,UB,T,NA,NA,NA,NA,NA,NA,M,YF,1,NA,LWD at top end,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1272.640015,2022-10-06T18:41:20Z,649914.2969873155,5531868.777282563
101,1,172,C,1,37,4,0.3,0.25,0.4,0.4,5.8,3.9,NA,NA,NA,NA,C,B,L,R,11,2,3,1,B,4,LWD,T,NA,NA,NA,NA,NA,NA,M,YF,1,NA,reset chain,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1272.687378,2022-10-06T18:57:38Z,649896.4732255649,5531833.011119207
102,1,209,G,1,5.5,0.5,0.5,0.15,0.4,0.5,7.4,3.7,NA,NA,NA,NA,C,G,L,R,3,0,1,1,UB,10,LWD,T,NA,NA,NA,NA,NA,NA,M,YF,1,NA,LWD at top end,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1271.131348,2022-10-06T19:38:22Z,649864.3724185086,5531814.760979329
103,1,214.5,C,1,23,4,0.7,0.2,0.35,0.3,6.3,4.7,NA,NA,NA,NA,C,B,L,R,4,1,0,1,B,4,UB,T,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1276.184204,2022-10-06T19:46:05Z,649862.1312023292,5531807.4712421205
104,1,237.5,R,1,13,2,0.4,0.45,0.4,0.2,6.1,3.6,NA,NA,NA,NA,C,G,L,R,1,0,0,1,U,7,B,T,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1280.727173,2022-10-06T19:57:06Z,649856.9275869281,5531795.865126573
105,1,250.5,C,1,22,4.5,0.35,0.3,0.35,0.3,5.8,4.4000000000000004,NA,NA,NA,NA,C,B,L,R,4,0,0,0,SWD,5,B,5,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1285.944946,2022-10-06T20:13:44Z,649859.0696606511,5531788.576416839
106,1,272.5,R,1,7.5,1.5,0.6,0.2,0.3,0.4,5.6,2.8,NA,NA,NA,NA,C,G,L,R,2,1,1,0,LWD,T,UB,T,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1283.010254,2022-10-06T20:29:18Z,649847.5847814556,5531780.469350185
107,1,278,C,1,9,4,0.6,0.4,0.25,0.1,5.7,4.8,NA,NA,NA,NA,C,B,L,R,2,1,1,0,UB,T,SWD,T,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1284.684204,2022-10-06T22:05:43Z,649836.4643163378,5531782.611814262
108,1,287,P,1,3,0,0.5,0.35,0.5,0.25,8.9,8.5,0.6,0.15,0.45,S,G,S,E,R,3,0,1,0,LWD,5,UB,T,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1283.478638,2022-10-06T22:05:58Z,649834.3562237553,5531778.319272689
109,1,300,R,1,5,2,0.45,0.15,0.2,0.2,6.7,4.5,NA,NA,NA,NA,G,S,E,R,5,4,1,0,LWD,T,NA,NA,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1281.838989,2022-10-06T22:09:21Z,649828.0092008414,5531774.0297567975
110,1,305,P,1,2,0,0.55000000000000004,0.45,0.5,0.3,6.2,4.3,0.45,0.05,0.4,S,G,S,E,R,6,6,0,0,DP,50,LWD,25,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1279.822998,2022-10-06T22:12:24Z,649826.4439987427,5531778.770065121
111,1,307,C,1,8,10,0.5,0.3,0.3,0.3,6.7,5.5,NA,NA,NA,NA,G,C,L,R,2,2,0,0,SWD,T,UB,T,NA,NA,NA,NA,NA,NA,M,MF,1,NA,NA,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1279.00061,2022-10-06T22:21:54Z,649827.9533347499,5531776.033170137
112,1,311,P,1,4,0,0.4,0.5,0.2,0.35,7.4,6.8,0.8,0.2,0.6,S,G,C,E,R,3,1,2,0,DP,40,LWD,T,NA,NA,NA,NA,NA,NA,M,MF,1,NA,wpt end 113,44840,Weigert Creek,NA,sunny,AI,MW,NA,NA,NA,NA,NA,NA,NA,1282.097778,2022-10-06T22:28:25Z,649818.5073115458,5531779.882293743
114,2,0,C,1,7.5,6,0.6,0.25,0.25,0.25,6.6,3.4,NA,NA,NA,NA,C,B,N,NA,4,0,2,0,UB,3,B,T,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,44841,Weigert Creek,NA,"clear, cool",AI,MW,NA,est. at 1.5,NA,NA,NA,NA,NA,1303.620972,2022-10-07T16:23:05Z,649408.5662114597,5531694.041143597
115,2,7.5,R,1,7,1.5,0.55000000000000004,0.3,0.25,0.3,7.3,4.3,NA,NA,NA,NA,C,B,L,R,4,1,3,0,LWD,3,UB,T,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,44841,Weigert Creek,NA,"clear, cool",AI,MW,NA,est. at 1.5,NA,NA,NA,NA,NA,1302.487305,2022-10-07T16:38:41Z,649390.5949505692,5531710.000801173
116,2,14.5,C,1,15.5,5,0.5,0.2,0.25,0.3,6.1,5.9,NA,NA,NA,NA,C,B,L,R,7,2,3,0,UB,4,LWD,T,NA,NA,NA,NA,NA,NA,C,MF,1,NA,NA,44841,Weigert Creek,NA,"clear, cool",AI,MW,NA,est. at 1.5,NA,NA,NA,NA,NA,1301.918213,2022-10-07T16:42:36Z,649395.0583639474,5531707.122119309
